measure		rho_min	rho_max		tau_min	tau_max

wup		0.6953	0.7688		0.5234	 0.585
lesk-6		0.6636	0.8143		0.4661	 0.6136
random		0.0071	0.1939		0.0138	 0.1363
hso		0.7272	0.8		0.3595	 0.4121
path		0.7013	0.7606		0.546	 0.5993
lch-6		0.7029	0.7606		0.5466	 0.5993
lch		0.7029	0.7606		0.5466	 0.5993
lesk		0.6636	0.8143		0.4661	 0.6136
res		0.6649	0.7489		0.4417	 0.5698
lin		0.4918	0.7251		0.3577	 0.5298
vector_pairs	0.6338	0.6959		0.4441	 0.5029
lesk-6-9	0.6636	0.8261		0.0116	 0.0483
vector		0.7211	0.9242		0.5399	 0.7616
wup-6		0.6953	0.7688		0.5234	 0.585
jcn		0.4556	0.7243		0.3183	 0.5134
